time_stamp, total_power, temps_avg,
1646083132.3854978,8.87,55.75,
1646083132.5860393,8.87,56.25,
1646083132.7866857,8.87,56.25,
1646083132.987203,8.653,56.0,
1646083133.1877196,8.653,56.25,
1646083133.3882432,8.653,56.5,
1646083133.5887816,8.653,56.25,
1646083133.7892733,8.664,56.25,
1646083133.9897847,8.664,57.0,
1646083134.1903422,8.664,56.5,
1646083134.390864,8.664,57.0,
1646083134.5914373,8.664,55.5,
1646083134.7919579,8.79,56.25,
1646083134.992482,8.79,56.25,
1646083135.1930234,8.79,56.75,
1646083135.3935552,8.79,56.25,
1646083135.594088,8.79,56.75,
1646083135.794762,8.554,55.75,
1646083135.9952924,8.554,57.0,
1646083136.1958184,8.554,57.0,
1646083136.3963602,8.554,57.25,
1646083136.5968783,8.554,57.5,
1646083136.7974045,8.87,57.25,
1646083136.9979277,8.87,57.5,
1646083137.1984441,8.87,57.5,
1646083137.398968,8.87,57.25,
1646083137.5994904,8.87,56.75,
1646083137.8000255,8.63,57.25,
1646083138.000542,8.63,58.25,
1646083138.2010674,8.63,57.75,
1646083138.4015982,8.63,57.25,
1646083138.6021261,8.63,57.5,
1646083138.8027446,8.63,56.75,
1646083139.0032804,8.63,57.5,
1646083139.203811,8.63,58.0,
1646083139.4043248,8.515,58.0,
1646083139.604848,8.515,58.0,
1646083139.8053637,8.515,58.25,
1646083140.0058105,8.714,57.75,
1646083140.2062285,8.714,58.25,
1646083140.406706,8.714,58.0,
1646083140.6069896,8.714,57.25,
1646083140.8073864,8.668,57.75,
1646083141.0079052,8.668,58.25,
1646083141.2084875,8.668,58.0,
1646083141.408923,8.668,58.5,
1646083141.6093569,8.668,58.25,
1646083141.8098,8.668,57.75,
1646083142.010091,8.638,58.0,
1646083142.2105184,8.638,58.0,
1646083142.4110444,8.638,58.0,
1646083142.6115773,8.638,58.75,
1646083142.8121104,8.638,58.0,
1646083143.0126407,8.577,59.0,
1646083143.2131748,8.577,58.0,
1646083143.413708,8.577,58.75,
1646083143.6142492,8.577,56.75,
1646083143.8148024,8.794,58.0,
1646083144.0153053,8.794,58.25,
1646083144.2158217,8.794,58.0,
1646083144.416363,8.794,58.5,
1646083144.616881,8.794,58.75,
1646083144.817406,8.836,58.5,
1646083145.017924,8.836,58.0,
1646083145.218434,8.836,58.5,
1646083145.418871,8.836,58.75,
1646083145.6193945,8.836,58.75,
1646083145.8199086,8.836,59.25,
1646083146.020423,8.58,58.5,
1646083146.2209432,8.58,58.5,
1646083146.4214706,8.58,58.75,
1646083146.621998,8.58,59.0,
1646083146.822521,8.477,57.5,
1646083147.022857,8.477,58.0,
1646083147.2233787,8.477,59.0,
1646083147.4238906,8.477,58.75,
1646083147.6244059,8.477,59.5,
1646083147.8249307,8.985,59.5,
1646083148.0254521,8.985,59.25,
1646083148.225978,8.985,59.25,
1646083148.426516,8.985,58.5,
1646083148.6270373,8.985,58.5,
1646083148.8276722,8.473,58.5,
1646083149.0281992,8.473,58.75,
1646083149.2287166,8.473,59.5,
1646083149.42923,8.473,59.25,
1646083149.6297479,8.473,58.0,
1646083149.8302763,8.97,59.0,
1646083150.0308218,8.97,58.25,
1646083150.2313251,8.97,59.0,
1646083150.431853,8.97,58.5,
1646083150.6323948,8.97,59.5,
1646083150.8329272,8.542,59.25,
1646083151.0334346,8.542,59.5,
1646083151.2340035,8.542,59.75,
1646083151.4345336,8.542,59.25,
1646083151.63508,8.542,59.25,
1646083151.8355966,8.634,59.75,
1646083152.0361173,8.634,59.5,
1646083152.2366338,8.634,58.75,
1646083152.437181,8.634,59.0,
1646083152.6377149,8.634,59.0,
1646083152.838253,8.863,58.75,
1646083153.0387735,8.863,59.75,
1646083153.239289,8.863,59.75,
1646083153.4398224,8.863,58.75,
1646083153.640344,8.863,59.75,
1646083153.8408704,8.981,59.25,
1646083154.0413818,8.981,59.5,
1646083154.241899,8.981,59.75,
1646083154.442425,8.981,59.0,
1646083154.6429515,8.981,59.75,
1646083154.843415,8.725,59.5,
1646083155.0438297,8.725,60.25,
1646083155.2443743,8.725,59.25,
1646083155.4451027,8.725,59.5,
1646083155.6456418,8.725,60.0,
1646083155.846358,8.71,59.0,
1646083156.046999,8.71,59.75,
1646083156.2475111,8.71,60.0,
1646083156.448043,8.71,59.5,
1646083156.6484728,8.71,58.0,
1646083156.8489044,8.676,60.0,
1646083157.0494006,8.676,59.75,
1646083157.2499223,8.676,60.0,
1646083157.450488,8.676,60.0,
1646083157.6510053,8.676,60.5,
1646083157.851475,8.897,60.0,
1646083158.0518851,8.897,60.25,
1646083158.2523289,8.897,60.25,
1646083158.452732,8.897,60.0,
1646083158.6532972,8.897,60.25,
1646083158.8538132,8.897,60.25,
1646083159.054341,8.897,60.0,
1646083159.2549682,8.897,59.5,
1646083159.4560225,8.897,59.0,
1646083159.6565645,8.897,60.0,
1646083159.8571246,8.897,60.0,
1646083160.0578177,8.42,59.25,
1646083160.2582972,8.42,60.0,
1646083160.4587262,8.42,59.75,
1646083160.6592557,8.42,59.75,
1646083160.859779,8.966,59.75,
1646083161.0603118,8.966,60.5,
1646083161.260597,8.966,59.75,
1646083161.4608886,8.966,59.75,
1646083161.6611974,8.966,60.25,
1646083161.8616104,8.966,60.5,
1646083162.0621264,8.867,59.25,
1646083162.2629726,8.867,60.75,
1646083162.4634876,8.867,60.25,
1646083162.6641924,8.867,59.75,
1646083162.8646758,8.466,60.0,
1646083163.0652447,8.466,60.0,
1646083163.2655685,8.466,59.0,
1646083163.4659958,8.466,60.0,
1646083163.6665301,8.466,60.5,
1646083163.86707,8.569,59.5,
1646083164.0675852,8.569,60.5,
1646083164.2682462,8.569,60.25,
1646083164.4687512,8.569,59.5,
1646083164.6692863,8.569,58.75,
