time_stamp, total_power, temps_avg,
1646080410.4314165,10.286,67.5,
1646080410.6318376,10.286,67.5,
1646080410.8323748,9.97,66.25,
1646080411.0328944,9.97,67.0,
1646080411.2334325,9.97,66.5,
1646080411.4339504,9.97,67.0,
1646080411.6344762,9.97,67.5,
1646080411.8350022,9.928,67.25,
1646080412.0356445,9.928,67.25,
1646080412.236161,9.928,67.0,
1646080412.4366739,9.928,67.0,
1646080412.637224,9.928,67.0,
1646080412.8377652,9.928,67.25,
1646080413.0383124,9.802,67.25,
1646080413.2388453,9.802,67.5,
1646080413.4393933,9.802,67.0,
1646080413.6399183,9.802,66.75,
1646080413.8404398,10.214,67.0,
1646080414.040964,10.214,67.25,
1646080414.2414787,10.214,67.25,
1646080414.442043,10.214,67.25,
1646080414.6427367,10.214,66.25,
1646080414.8432539,10.214,67.0,
1646080415.044636,10.214,67.0,
1646080415.245057,10.214,67.25,
1646080415.4456,10.214,66.75,
1646080415.646038,10.214,67.0,
1646080415.8467014,10.214,67.5,
1646080416.0473683,10.214,67.0,
1646080416.2479033,10.214,66.5,
1646080416.448446,10.214,67.0,
1646080416.648977,9.542,66.75,
1646080416.8495362,10.035,66.75,
1646080417.050047,10.035,67.0,
1646080417.2505634,10.035,67.25,
1646080417.4511023,10.035,67.25,
1646080417.6516297,10.035,67.5,
1646080417.8521757,10.035,66.0,
1646080418.052711,10.035,66.5,
1646080418.2532382,10.035,67.0,
1646080418.4537458,10.035,67.0,
1646080418.6543093,10.035,67.25,
1646080418.8548253,10.035,67.75,
1646080419.0554752,10.035,68.0,
1646080419.256,10.035,66.5,
1646080419.4565275,10.035,66.75,
1646080419.657049,10.035,66.75,
1646080419.857564,10.035,67.25,
1646080420.0581086,10.035,66.75,
1646080420.2587874,10.035,67.75,
1646080420.4593124,10.035,66.25,
1646080420.6598194,10.035,66.25,
1646080420.8603656,10.035,66.75,
1646080421.0608768,10.035,67.5,
1646080421.2613933,10.035,67.0,
1646080421.4619248,10.035,67.75,
1646080421.6624665,10.035,67.25,
1646080421.8629878,10.035,66.75,
1646080422.0636544,10.099,66.5,
1646080422.2641425,10.099,67.5,
1646080422.4646585,10.099,67.75,
1646080422.6651785,10.099,66.75,
1646080422.865724,9.832,67.5,
1646080423.0662403,9.832,67.5,
1646080423.2668235,9.832,66.25,
1646080423.4673452,9.832,67.0,
1646080423.6678672,9.832,66.5,
1646080423.8684201,9.832,67.25,
1646080424.0689394,9.832,66.75,
1646080424.2693994,9.97,67.75,
1646080424.469719,9.97,67.75,
1646080424.670035,9.97,67.25,
1646080424.8703718,9.893,66.75,
1646080425.0707185,9.893,67.25,
1646080425.2710402,9.893,67.25,
1646080425.4713585,9.893,66.75,
1646080425.6716669,9.893,66.75,
1646080425.8720946,9.893,66.75,
1646080426.0726275,9.542,66.5,
1646080426.2731273,9.542,67.25,
1646080426.4736674,9.542,67.0,
1646080426.6742067,9.542,67.25,
1646080426.8747008,9.844,67.75,
1646080427.0749907,9.844,66.75,
1646080427.275418,9.844,66.75,
1646080427.475882,9.844,67.25,
1646080427.6762087,9.844,66.5,
1646080427.8766508,9.844,66.75,
1646080428.0772011,9.775,67.25,
1646080428.2777402,9.775,68.0,
1646080428.478279,9.775,68.0,
1646080428.6787853,9.775,67.0,
1646080428.8793147,9.756,67.75,
1646080429.0798333,9.756,68.0,
1646080429.2803702,9.756,67.25,
1646080429.4809105,9.756,68.0,
1646080429.6814575,9.756,68.0,
1646080429.8819842,9.756,66.25,
1646080430.082506,9.756,67.5,
1646080430.283026,9.756,67.75,
1646080430.4836836,9.756,67.0,
1646080430.6842003,9.756,67.25,
1646080430.8847613,9.756,67.0,
1646080431.0852883,9.756,66.75,
1646080431.2857857,9.756,67.5,
1646080431.4863255,10.191,67.5,
1646080431.6868653,10.191,67.0,
1646080431.8873675,10.035,67.25,
1646080432.0879934,10.035,68.0,
1646080432.288529,10.035,67.75,
1646080432.489088,10.035,67.5,
1646080432.6896114,10.035,68.0,
1646080432.8901432,9.954,67.0,
1646080433.0907845,9.954,68.5,
1646080433.2912846,9.954,68.75,
1646080433.4917922,9.954,67.5,
1646080433.6923203,9.954,67.25,
1646080433.8928626,10.138,67.5,
1646080434.0933967,10.138,67.75,
1646080434.29392,10.138,68.0,
1646080434.49444,10.138,67.0,
1646080434.6947763,10.138,67.0,
1646080434.8952003,10.138,67.0,
1646080435.0957203,10.054,66.0,
1646080435.2962213,10.054,67.5,
1646080435.4966612,10.054,68.0,
1646080435.6970925,10.054,67.75,
1646080435.8976114,10.054,67.0,
1646080436.0980587,9.977,67.5,
1646080436.2985003,9.977,68.25,
1646080436.4990482,9.977,67.5,
1646080436.6994815,9.977,67.75,
1646080436.8997586,10.432,68.25,
1646080437.1001701,10.432,67.75,
1646080437.3007026,10.432,68.0,
1646080437.5016203,10.432,68.25,
1646080437.70206,10.432,67.5,
1646080437.9024827,10.432,67.25,
1646080438.1029384,10.264,66.75,
1646080438.3032641,10.264,67.75,
1646080438.5036845,10.264,68.0,
1646080438.7042103,10.264,68.0,
1646080438.9047449,10.042,68.0,
1646080439.1052659,10.042,67.75,
1646080439.3058019,10.042,67.75,
1646080439.5065198,10.042,67.0,
1646080439.7071764,10.042,67.5,
1646080439.9076965,9.546,67.5,
1646080440.1082146,9.546,68.0,
1646080440.3087313,9.546,67.75,
1646080440.509255,9.546,66.5,
1646080440.7098148,9.546,67.25,
1646080440.910355,9.626,67.25,
1646080441.1108897,9.626,67.25,
1646080441.3114262,9.626,67.5,
1646080441.511984,9.626,67.25,
1646080441.7125232,9.626,66.5,
1646080441.9130487,9.931,67.0,
1646080442.1135614,9.931,66.75,
1646080442.3140793,9.931,67.75,
1646080442.5147297,9.931,66.5,
1646080442.7152448,9.931,67.25,
1646080442.915781,9.977,67.5,
1646080443.116456,9.977,67.5,
1646080443.316985,9.977,67.5,
1646080443.5175076,9.977,67.0,
1646080443.718043,9.977,68.0,
1646080443.918563,9.741,67.0,
1646080444.119073,9.741,67.5,
1646080444.3195941,9.741,67.5,
1646080444.52012,9.741,67.75,
1646080444.7206452,9.741,67.5,
1646080444.92117,10.214,67.75,
1646080445.121693,10.214,68.25,
1646080445.322139,10.214,66.75,
1646080445.5226912,10.214,66.75,
1646080445.7232332,10.008,67.25,
1646080445.9237676,10.008,68.0,
1646080446.124293,10.008,67.5,
1646080446.3248265,10.008,67.75,
1646080446.5253816,10.008,67.0,
1646080446.7259667,10.008,66.75,
1646080446.9267268,9.87,66.75,
1646080447.1272714,9.87,68.0,
1646080447.3277087,9.87,67.75,
1646080447.5281339,9.87,67.5,
1646080447.72867,9.87,67.0,
1646080447.9292142,9.756,67.0,
1646080448.12967,9.756,67.75,
1646080448.330003,9.756,67.5,
1646080448.530422,9.756,67.0,
1646080448.7309587,9.756,67.0,
1646080448.9315028,9.718,67.0,
1646080449.1320562,9.718,67.5,
1646080449.332583,9.718,67.25,
1646080449.5331202,9.718,68.0,
1646080449.7336795,10.134,66.5,
1646080449.9342139,10.134,67.25,
1646080450.1347623,10.134,68.0,
1646080450.3352883,10.134,68.0,
1646080450.5358202,10.134,67.5,
1646080450.7363365,10.023,66.25,
1646080450.9369621,10.023,67.75,
1646080451.137491,10.023,68.25,
1646080451.3380244,10.023,67.25,
1646080451.5385468,10.023,67.5,
1646080451.7390912,10.256,67.75,
1646080451.9397864,10.256,68.25,
1646080452.140316,10.256,68.25,
1646080452.3408551,10.256,67.5,
1646080452.5414088,10.256,66.75,
1646080452.7419412,10.256,66.25,
1646080452.942493,9.237,65.25,
1646080453.1429942,9.237,67.75,
1646080453.3435142,9.237,68.25,
1646080453.5440345,9.237,67.0,
1646080453.7445815,9.237,67.0,
1646080453.945136,10.218,67.5,
1646080454.1456583,10.218,67.5,
1646080454.3462098,10.218,68.25,
1646080454.5467637,10.218,67.75,
1646080454.7472875,10.218,67.0,
1646080454.9478123,10.218,67.0,
1646080455.1483448,9.844,68.0,
1646080455.3489723,9.844,67.75,
1646080455.5495052,9.844,67.25,
1646080455.7500472,9.844,67.75,
1646080455.9506943,9.615,68.0,
1646080456.1512291,9.615,67.5,
1646080456.3517365,9.615,67.25,
1646080456.5522678,9.615,67.0,
1646080456.7527895,9.615,67.0,
1646080456.9533288,9.615,67.75,
1646080457.1538625,9.615,66.25,
1646080457.3544126,9.615,67.0,
1646080457.5549269,9.615,68.0,
1646080457.7554536,9.615,67.0,
1646080457.9559646,9.615,68.0,
1646080458.1565042,9.615,67.25,
1646080458.3570228,9.615,67.25,
1646080458.5575552,9.615,67.0,
1646080458.7580688,9.615,67.5,
1646080458.958518,9.615,67.25,
1646080459.158808,9.615,67.0,
1646080459.3593273,9.615,67.5,
1646080459.5598714,9.916,66.75,
1646080459.7604003,9.916,67.0,
1646080459.9609509,9.916,67.5,
1646080460.1614068,9.916,66.75,
1646080460.3617404,9.916,67.5,
1646080460.562062,9.916,67.75,
1646080460.762384,9.916,67.75,
1646080460.9628239,9.916,67.0,
1646080461.1633615,9.916,67.5,
1646080461.3638992,9.916,67.0,
1646080461.56443,9.916,67.25,
1646080461.7648928,9.916,67.75,
1646080461.9653263,9.916,68.25,
1646080462.1658602,9.916,68.0,
1646080462.366388,9.973,68.5,
1646080462.566912,9.973,68.25,
1646080462.767431,10.485,67.75,
1646080462.967879,10.485,67.25,
1646080463.168179,10.485,68.0,
1646080463.3686335,10.485,67.75,
1646080463.5693026,10.485,68.75,
1646080463.769801,10.069,67.75,
1646080463.9703655,10.069,68.0,
1646080464.1707416,10.069,67.5,
1646080464.371187,10.069,68.0,
1646080464.5716116,10.069,67.5,
1646080464.772011,9.897,68.0,
