time_stamp, total_power, temps_avg,
1646078030.299215,0.0,30.5,
1646078030.4994807,0.0,30.5,
1646078030.6997488,0.0,30.5,
1646078030.9000115,2.431,30.5,
1646078031.1002707,2.431,30.5,
1646078031.3005223,2.431,30.5,
1646078031.5007946,2.431,31.75,
1646078031.7010756,2.431,32.5,
1646078031.901379,2.905,34.5,
1646078032.1016996,2.905,41.25,
1646078032.3020015,2.905,39.0,
1646078032.502315,2.905,38.25,
1646078032.7026424,2.905,38.0,
1646078032.9032607,4.58,38.0,
1646078033.103563,4.58,35.75,
1646078033.3038602,4.58,36.25,
1646078033.5041761,4.58,35.5,
1646078033.7045925,4.58,43.25,
1646078033.9051108,3.5,47.0,
1646078034.1056323,3.5,49.5,
1646078034.306058,3.5,50.0,
1646078034.5064487,3.5,50.5,
1646078034.7069688,9.309,52.25,
1646078034.9074016,9.309,53.0,
1646078035.1077173,9.309,53.25,
1646078035.3081605,9.309,53.5,
1646078035.508693,9.309,53.5,
1646078035.7092397,9.309,54.0,
1646078035.9097733,9.309,55.0,
1646078036.110306,9.443,55.0,
1646078036.3108456,9.443,55.25,
1646078036.5113053,9.443,55.5,
1646078036.711728,9.443,56.25,
1646078036.9122753,9.443,56.0,
1646078037.1128156,9.317,56.5,
1646078037.3133256,9.317,55.75,
1646078037.5138354,9.317,56.75,
1646078037.7143598,9.317,57.5,
1646078037.914907,9.359,57.25,
1646078038.115437,9.359,57.0,
1646078038.3159611,9.359,57.25,
1646078038.516475,9.359,56.5,
1646078038.716993,9.359,57.75,
1646078038.9175446,8.886,57.5,
1646078039.1180973,8.886,57.5,
1646078039.3187318,8.886,57.5,
1646078039.5192156,8.886,58.0,
1646078039.7197301,8.886,58.0,
1646078039.9201684,9.279,58.75,
1646078040.1204839,9.279,58.0,
1646078040.3208838,9.279,58.75,
1646078040.5214176,9.279,58.5,
1646078040.7218666,9.279,58.75,
1646078040.9222887,9.557,59.25,
1646078041.1228461,9.557,59.0,
1646078041.3234315,9.557,59.5,
1646078041.523756,9.557,58.75,
1646078041.724188,9.557,59.25,
1646078041.9247334,9.557,59.75,
1646078042.1252632,9.584,59.25,
1646078042.3256829,9.584,59.25,
1646078042.5260746,9.584,59.25,
1646078042.7267246,9.584,60.25,
1646078042.9272504,9.584,59.75,
1646078043.1279335,9.355,59.75,
1646078043.3284588,9.355,59.5,
1646078043.52897,9.355,59.0,
1646078043.7295363,9.18,60.0,
1646078043.9300823,9.18,60.5,
1646078044.130885,9.18,60.5,
1646078044.3314352,9.18,59.75,
1646078044.5319707,9.18,60.75,
1646078044.7325118,9.18,60.5,
1646078044.9330518,9.76,60.5,
1646078045.1336033,9.76,60.75,
1646078045.3341374,9.76,60.75,
1646078045.534813,9.76,59.75,
1646078045.7353694,9.76,60.75,
1646078045.935901,9.76,60.75,
1646078046.136487,9.565,60.0,
1646078046.3369045,9.565,59.75,
1646078046.5372167,9.565,60.75,
1646078046.7376313,9.565,60.75,
1646078046.9381683,9.569,60.5,
1646078047.1387255,9.569,60.75,
1646078047.3392518,9.569,60.5,
1646078047.5397506,9.569,61.0,
1646078047.7400832,9.569,60.5,
1646078047.9404013,9.596,60.5,
1646078048.140823,9.596,61.25,
1646078048.3412664,9.596,60.5,
1646078048.541729,9.596,60.5,
1646078048.7421777,9.783,60.5,
1646078048.942724,9.783,61.5,
1646078049.1436481,9.783,61.0,
1646078049.3439577,9.783,61.0,
1646078049.5442803,9.783,60.75,
1646078049.7447028,9.783,61.25,
1646078049.9452603,9.077,61.0,
1646078050.1457994,9.077,59.75,
1646078050.3463423,9.077,60.75,
1646078050.5469398,9.077,59.25,
1646078050.7474647,9.077,60.75,
1646078050.9480917,9.531,61.25,
1646078051.1484168,9.531,61.25,
1646078051.3488615,9.531,61.75,
1646078051.549292,9.531,61.5,
1646078051.7496305,9.531,61.5,
1646078051.950196,9.519,61.75,
1646078052.1508603,9.519,62.0,
1646078052.3513436,9.519,61.75,
1646078052.552001,9.519,61.0,
1646078052.7525368,9.519,62.25,
1646078052.953098,9.477,62.0,
1646078053.1536422,9.477,62.25,
1646078053.3541892,9.477,62.75,
1646078053.5547552,9.477,61.75,
1646078053.7554488,9.477,62.25,
1646078053.9558766,9.462,61.75,
1646078054.1563108,9.462,61.75,
1646078054.3568528,9.462,61.5,
1646078054.5573928,9.462,62.0,
1646078054.758045,9.462,61.75,
1646078054.95873,9.386,61.75,
1646078055.1592777,9.386,62.75,
1646078055.359826,9.386,61.75,
1646078055.560344,9.386,62.5,
1646078055.760908,9.386,61.0,
1646078055.9614298,9.386,61.75,
1646078056.1619473,9.386,61.75,
1646078056.3624456,9.386,62.75,
1646078056.562921,9.386,62.25,
1646078056.76345,9.386,62.5,
1646078056.9639757,9.386,61.75,
1646078057.164449,9.386,62.75,
1646078057.364769,9.34,62.75,
1646078057.565089,9.34,62.5,
1646078057.7654183,9.34,62.5,
1646078057.9659586,9.08,62.5,
1646078058.1665072,9.08,63.0,
1646078058.3670259,9.08,63.0,
1646078058.5674067,9.08,62.75,
1646078058.7680705,9.08,62.75,
1646078058.9685855,9.08,62.75,
1646078059.1691217,9.08,62.75,
1646078059.3696785,9.08,63.25,
1646078059.5701764,9.08,62.5,
1646078059.7710104,9.886,62.25,
1646078059.971618,9.775,62.0,
1646078060.1720586,9.775,62.75,
1646078060.3724794,9.775,62.75,
1646078060.5729084,9.775,62.5,
1646078060.7733514,9.775,63.0,
1646078060.9738958,9.298,62.5,
1646078061.1743972,9.298,63.0,
1646078061.374914,9.298,62.25,
1646078061.5754776,9.298,62.25,
1646078061.776066,9.229,62.75,
1646078061.9765923,9.229,63.25,
1646078062.1771271,9.229,62.75,
1646078062.3776925,9.229,62.5,
1646078062.5782435,9.229,62.75,
1646078062.7787766,9.229,62.5,
1646078062.979304,9.229,62.75,
1646078063.1797416,9.439,62.75,
1646078063.3800707,9.439,63.0,
1646078063.580396,9.439,62.75,
1646078063.7808278,9.439,62.75,
1646078063.9813702,8.874,63.75,
1646078064.1818955,8.874,62.5,
1646078064.3824391,8.874,63.0,
1646078064.5831099,8.874,63.25,
1646078064.783654,9.775,62.75,
1646078064.9841914,9.775,63.5,
1646078065.1847696,9.775,62.75,
1646078065.3852565,9.775,62.25,
1646078065.5855825,9.775,62.5,
1646078065.785995,9.775,63.25,
1646078065.9865158,9.775,64.0,
1646078066.187047,9.222,63.5,
1646078066.3875806,9.222,63.25,
1646078066.5881145,9.222,63.75,
1646078066.7886467,9.222,63.75,
1646078066.9891672,9.481,63.75,
1646078067.1896863,9.481,63.75,
1646078067.3902156,9.481,62.5,
1646078067.5906873,9.481,63.75,
1646078067.7909894,9.481,64.0,
1646078067.991306,9.481,63.0,
1646078068.1917229,9.054,63.25,
1646078068.3922548,9.054,63.75,
1646078068.5928156,9.054,62.75,
1646078068.7933366,9.054,63.75,
1646078068.9938748,9.054,63.25,
1646078069.1943512,9.054,63.5,
1646078069.3947906,9.16,63.75,
1646078069.5953097,9.16,63.5,
1646078069.7958205,9.16,63.75,
1646078069.996348,9.771,63.75,
1646078070.1968808,9.771,63.5,
1646078070.3974261,9.771,63.75,
1646078070.5979707,9.771,63.25,
1646078070.7985027,9.756,63.0,
1646078070.999036,9.756,62.75,
1646078071.1996286,9.756,63.0,
1646078071.4000444,9.756,63.75,
1646078071.6005886,9.756,63.25,
1646078071.8011253,9.756,63.75,
1646078072.001671,9.756,63.75,
1646078072.2021348,9.756,64.0,
1646078072.402459,8.909,63.5,
1646078072.6028879,8.909,63.5,
1646078072.8034256,8.909,62.75,
1646078073.003951,9.286,63.75,
1646078073.2044733,9.286,64.5,
1646078073.4049947,9.286,64.25,
1646078073.605518,9.286,64.0,
1646078073.806066,9.286,64.25,
1646078074.006727,9.725,63.75,
1646078074.2072723,9.725,64.5,
1646078074.4078028,9.725,64.5,
1646078074.6083586,9.725,64.25,
1646078074.80881,9.725,63.5,
1646078075.0091414,9.947,63.75,
1646078075.2095854,9.947,64.5,
1646078075.4101071,9.947,64.0,
1646078075.6107707,9.947,63.75,
1646078075.811309,9.947,64.5,
1646078076.0118415,9.351,63.5,
1646078076.2123978,9.351,63.0,
1646078076.4128652,9.351,63.75,
1646078076.6132185,9.351,64.5,
1646078076.813551,9.351,63.5,
1646078077.0138824,9.351,63.75,
1646078077.2142887,9.473,63.5,
1646078077.4148362,9.473,63.25,
1646078077.6153872,9.473,63.75,
1646078077.81584,9.473,64.0,
1646078078.0162008,9.68,64.0,
1646078078.2166228,9.68,64.75,
1646078078.4171827,9.68,64.75,
1646078078.617708,9.68,64.25,
1646078078.818236,9.68,64.0,
1646078079.0188148,9.68,64.25,
1646078079.2193663,9.68,64.75,
1646078079.4199238,9.458,63.5,
1646078079.6204622,9.458,64.0,
1646078079.8210044,9.458,63.75,
1646078080.0215418,9.37,64.5,
1646078080.2221804,9.37,64.0,
1646078080.4227717,9.37,63.75,
1646078080.6233103,9.37,63.5,
1646078080.8238459,9.37,63.75,
1646078081.02439,9.153,63.5,
1646078081.224954,9.153,63.75,
1646078081.4255178,9.153,63.75,
1646078081.626033,9.153,63.75,
1646078081.8267581,9.424,63.75,
1646078082.0272915,9.424,64.0,
1646078082.2278464,9.424,64.5,
1646078082.4283834,9.424,64.0,
1646078082.6289341,9.424,62.5,
1646078082.8294754,9.424,63.75,
1646078083.0300126,9.424,63.75,
1646078083.230534,9.424,64.25,
1646078083.431061,9.424,63.0,
1646078083.6315114,9.424,64.5,
1646078083.8318474,9.424,64.25,
1646078084.032275,9.424,64.0,
1646078084.2328248,9.424,64.25,
1646078084.4333386,9.187,64.25,
1646078084.6338556,9.187,64.75,
1646078084.8343785,9.645,64.0,
1646078085.0349026,9.645,64.25,
1646078085.235428,9.645,63.75,
1646078085.4359496,9.645,64.5,
1646078085.6364682,9.645,64.0,
1646078085.8369908,9.645,64.75,
1646078086.0375292,9.645,64.75,
1646078086.2380798,9.645,64.75,
1646078086.43881,9.645,64.0,
1646078086.6393452,9.645,64.25,
1646078086.839869,9.645,64.75,
1646078087.0404148,9.645,64.75,
1646078087.2409756,9.645,64.25,
1646078087.441499,9.645,64.5,
1646078087.6420274,9.645,64.0,
1646078087.8425648,9.645,63.5,
1646078088.043096,9.645,64.25,
1646078088.243636,9.092,64.5,
1646078088.4441457,9.092,64.25,
1646078088.6446748,9.092,63.75,
1646078088.8452163,9.092,64.0,
1646078089.045734,9.092,64.5,
1646078089.246286,9.092,64.75,
1646078089.4467974,9.092,64.25,
1646078089.6473224,9.092,64.5,
1646078089.8478622,9.092,64.75,
1646078090.0483732,9.092,64.75,
1646078090.2488132,9.092,64.25,
1646078090.4492223,9.092,64.75,
1646078090.6497576,9.622,64.75,
1646078090.8503015,9.435,64.5,
1646078091.0508292,9.435,64.5,
1646078091.2513592,9.435,64.75,
1646078091.4518807,9.435,64.75,
1646078091.6524105,9.435,64.0,
1646078091.8529515,9.638,64.5,
1646078092.0534558,9.638,64.75,
1646078092.253991,9.638,64.0,
1646078092.4545107,9.638,64.5,
1646078092.6550405,9.638,64.75,
