time_stamp, total_power, cpu_temp,
1646072673.128221,0.0,42.932,
1646072673.3285525,0.0,43.47,
1646072673.52883,4.439,42.932,
1646072673.729134,4.439,42.932,
1646072673.9293823,4.439,42.932,
1646072674.1296866,4.439,42.932,
1646072674.3299847,4.439,42.932,
1646072674.5302916,4.027,42.932,
1646072674.730563,4.027,43.47,
1646072674.9308364,4.027,42.932,
1646072675.131112,4.027,42.932,
1646072675.3313856,4.027,42.932,
1646072675.531695,4.034,42.932,
1646072675.7319689,4.034,42.932,
1646072675.9322476,4.034,42.932,
1646072676.132526,4.034,42.932,
1646072676.332818,4.034,42.932,
1646072676.5331366,4.023,42.932,
1646072676.7334323,4.023,42.932,
1646072676.9337227,4.023,42.932,
1646072677.1340048,4.023,43.47,
1646072677.3343437,4.023,43.47,
1646072677.534757,5.897,44.008,
1646072677.7351415,5.897,43.47,
1646072677.9354563,5.897,43.47,
1646072678.135784,5.897,43.47,
1646072678.3360767,5.897,44.008,
1646072678.536368,5.676,44.008,
1646072678.7366512,5.676,44.546,
1646072678.9369326,5.676,44.546,
1646072679.1372383,5.676,45.084,
1646072679.3375633,5.676,45.084,
1646072679.5378852,5.725,45.084,
1646072679.7381804,5.725,45.084,
1646072679.9384696,5.725,45.084,
1646072680.1388514,5.725,45.622,
1646072680.3391376,5.725,45.622,
1646072680.539412,5.725,45.622,
1646072680.7396867,5.813,45.622,
1646072680.9399836,5.813,45.622,
1646072681.1402838,5.813,45.622,
1646072681.3405974,5.813,45.084,
1646072681.5409625,5.851,45.622,
1646072681.741245,5.851,45.084,
1646072681.9415588,5.851,46.16,
1646072682.1418772,5.851,45.622,
1646072682.3421655,5.851,45.622,
1646072682.5425043,5.718,46.16,
1646072682.742805,5.718,46.698,
1646072682.9431329,5.718,46.16,
1646072683.1434326,5.718,46.16,
1646072683.3437767,5.718,46.16,
1646072683.5441191,5.939,46.698,
1646072683.7444491,5.939,46.16,
1646072683.9447734,5.939,46.16,
1646072684.1450872,5.939,46.698,
1646072684.345385,5.939,46.16,
1646072684.5457144,5.714,46.16,
1646072684.74602,5.714,46.16,
1646072684.9463189,5.714,46.16,
1646072685.146668,5.714,46.698,
1646072685.347,5.714,47.236,
1646072685.5473132,5.847,47.236,
1646072685.7476144,5.847,46.698,
1646072685.9480162,5.847,46.16,
1646072686.1484284,5.847,46.698,
1646072686.3487663,5.847,46.698,
1646072686.5490847,5.847,47.236,
1646072686.7494287,5.683,47.236,
1646072686.9497354,5.683,46.698,
1646072687.1500432,5.683,47.236,
1646072687.350364,5.767,47.236,
1646072687.5506773,5.767,46.698,
1646072687.7510006,5.767,47.236,
1646072687.9513247,5.767,46.16,
1646072688.151639,5.767,47.236,
1646072688.3519561,5.767,47.236,
1646072688.5522742,5.767,47.236,
1646072688.7525957,5.767,47.236,
1646072688.9529,5.767,47.236,
1646072689.1531854,5.767,47.236,
1646072689.3535967,5.767,47.236,
1646072689.5539043,5.832,47.236,
1646072689.7542026,5.832,47.236,
1646072689.9545147,5.832,47.236,
1646072690.1548104,5.832,47.236,
1646072690.355122,5.832,46.698,
1646072690.5554466,6.038,47.236,
1646072690.7557483,6.038,47.236,
1646072690.956066,6.038,47.236,
1646072691.1563747,6.038,47.236,
1646072691.356714,5.721,47.236,
1646072691.5570438,5.721,47.236,
1646072691.7573338,5.721,47.774,
1646072691.9576561,5.721,47.774,
1646072692.157983,5.721,47.236,
1646072692.3582942,5.962,47.236,
1646072692.558617,5.962,47.236,
1646072692.7589412,5.962,47.236,
1646072692.9593039,5.962,47.236,
1646072693.1595802,5.962,47.774,
1646072693.3599596,5.962,47.774,
1646072693.560243,6.05,47.236,
1646072693.760555,6.05,48.312,
1646072693.9608648,6.05,48.312,
1646072694.1611662,6.05,48.312,
1646072694.361471,6.76,48.312,
1646072694.5617898,6.76,47.774,
1646072694.7621212,6.76,48.312,
1646072694.962434,6.76,48.312,
1646072695.1628344,6.76,48.312,
1646072695.3631623,6.76,48.312,
1646072695.563461,6.76,48.312,
1646072695.7638302,6.76,49.388,
1646072695.9641466,6.76,49.388,
1646072696.1644547,6.76,48.312,
1646072696.3647406,6.76,49.388,
1646072696.5650651,6.76,48.85,
1646072696.7653801,6.813,49.388,
1646072696.9656491,6.813,48.85,
1646072697.1659656,6.813,48.85,
1646072697.366331,6.68,49.388,
1646072697.5666459,6.68,49.388,
1646072697.7669675,6.68,49.388,
1646072697.9673316,6.68,49.388,
1646072698.1676395,6.68,49.388,
1646072698.367961,6.744,49.388,
1646072698.5682342,6.744,49.388,
1646072698.7685897,6.744,49.388,
1646072698.9689064,6.744,49.388,
1646072699.169262,6.744,49.388,
1646072699.3695912,6.767,49.388,
1646072699.5698686,6.767,49.388,
1646072699.770186,6.767,49.388,
1646072699.970508,6.767,49.926,
1646072700.170827,6.767,49.388,
1646072700.3711286,6.718,49.926,
1646072700.5714438,6.718,49.388,
1646072700.7717638,6.718,49.926,
1646072700.9720721,6.718,49.388,
1646072701.1724026,6.718,49.926,
1646072701.3727243,6.718,49.388,
1646072701.573031,6.851,50.464,
1646072701.7735138,6.851,49.388,
1646072701.9738612,6.851,49.388,
1646072702.174175,6.851,49.926,
1646072702.3744514,6.851,49.926,
1646072702.5747855,6.664,49.926,
1646072702.7750955,6.664,49.388,
1646072702.9754386,6.664,49.926,
1646072703.1757593,6.664,50.464,
1646072703.376086,6.916,50.464,
1646072703.5764835,6.916,50.464,
1646072703.7768066,6.916,49.926,
1646072703.9771268,6.916,50.464,
1646072704.1775272,6.916,49.926,
1646072704.3778484,6.916,50.464,
1646072704.5781558,6.916,49.926,
1646072704.7784908,6.916,50.464,
1646072704.9788165,6.916,49.926,
1646072705.179136,6.916,50.464,
1646072705.379555,6.916,50.464,
1646072705.5799472,6.916,50.464,
1646072705.7802448,6.641,50.464,
1646072705.9805584,6.641,50.464,
1646072706.1808662,6.641,50.464,
1646072706.3811562,6.63,50.464,
1646072706.5814734,6.63,50.464,
1646072706.7817929,6.63,50.464,
1646072706.9822056,6.63,50.464,
1646072707.1825306,6.63,51.002,
1646072707.3828228,6.63,50.464,
1646072707.5831208,6.84,50.464,
1646072707.7834363,6.84,50.464,
1646072707.9837506,6.84,50.464,
1646072708.1840684,6.84,50.464,
1646072708.3843935,6.84,50.464,
1646072708.584799,6.84,50.464,
1646072708.7851117,6.649,49.926,
1646072708.9854336,6.649,50.464,
1646072709.1857634,6.649,50.464,
1646072709.3860877,6.649,51.54,
1646072709.5864093,6.92,51.002,
1646072709.786743,6.92,50.464,
1646072709.9870534,6.92,50.464,
1646072710.1873727,6.92,51.002,
1646072710.3876977,6.92,51.002,
1646072710.5880067,6.748,50.464,
1646072710.7883308,6.748,51.002,
1646072710.988658,6.748,50.464,
1646072711.1889737,6.748,50.464,
1646072711.389362,6.748,51.002,
1646072711.5896466,6.878,50.464,
1646072711.7899628,6.878,50.464,
1646072711.990244,6.878,50.464,
1646072712.1905649,6.878,51.002,
1646072712.3908882,6.878,50.464,
1646072712.5911932,6.878,50.464,
1646072712.7914982,6.722,51.002,
1646072712.9918075,6.722,51.002,
1646072713.1921203,6.722,50.464,
1646072713.392439,6.722,50.464,
1646072713.5927553,6.722,51.002,
1646072713.793088,6.722,51.002,
1646072713.9934163,6.722,51.002,
1646072714.1937387,6.722,51.54,
1646072714.3940582,6.722,51.54,
1646072714.594356,6.722,51.002,
1646072714.794672,6.741,51.54,
1646072714.9949994,6.741,50.464,
1646072715.1953237,6.741,51.002,
1646072715.3956578,6.741,51.54,
1646072715.5959883,6.775,51.002,
1646072715.7962997,6.775,51.002,
1646072715.9965763,6.775,51.002,
1646072716.1969042,6.775,51.54,
1646072716.3971949,6.775,51.54,
1646072716.597508,6.775,51.54,
1646072716.797845,6.775,51.54,
1646072716.9981432,6.775,51.54,
1646072717.198465,6.775,51.002,
1646072717.3987608,6.775,51.002,
1646072717.5990639,6.775,50.464,
1646072717.799341,6.775,51.54,
1646072717.9996257,6.775,51.54,
1646072718.1999404,6.775,51.002,
1646072718.400258,6.775,51.54,
1646072718.6005564,6.775,51.54,
1646072718.8008769,6.775,51.54,
1646072719.0012045,6.775,51.54,
1646072719.2015254,6.775,51.54,
1646072719.401833,6.775,51.54,
1646072719.6021557,6.775,51.54,
1646072719.80248,6.775,51.54,
1646072720.0028,6.775,51.54,
1646072720.2031064,6.775,52.078,
1646072720.4034655,6.775,51.54,
1646072720.6037734,6.775,51.54,
1646072720.8041797,6.775,51.54,
1646072721.0044973,6.737,51.54,
1646072721.2048318,6.737,51.54,
1646072721.4051485,6.573,51.54,
