time_stamp, total_power, temps_avg,
1648583492.54235,0.0,34.75,
1648583492.7426221,3.695,32.5,
1648583492.9428928,3.695,32.0,
1648583493.1431592,3.695,31.5,
1648583493.343424,3.695,31.5,
1648583493.5436852,3.695,31.5,
1648583493.7439466,3.695,31.5,
1648583493.944213,3.695,31.25,
1648583494.1444802,2.534,31.25,
1648583494.344741,2.534,31.25,
1648583494.5450015,2.534,31.25,
1648583494.7453313,2.534,31.75,
1648583494.945622,2.534,33.25,
1648583495.1459045,2.489,34.25,
1648583495.346208,2.489,39.5,
1648583495.5465355,2.489,42.75,
1648583495.7468352,6.687,39.25,
1648583495.9471276,6.687,38.25,
1648583496.1474316,6.687,36.25,
1648583496.3477285,6.687,35.75,
1648583496.5480244,6.687,35.75,
1648583496.7483587,3.584,37.75,
1648583496.9486783,3.584,39.0,
1648583497.1489928,3.584,38.75,
1648583497.3493197,3.584,38.75,
1648583497.549672,3.584,42.25,
1648583497.750128,3.584,44.5,
1648583497.9507582,4.615,47.0,
1648583498.1512556,4.615,46.5,
1648583498.3517556,4.615,46.75,
1648583498.5522623,4.615,48.75,
1648583498.7527797,7.794,48.0,
1648583498.9533246,7.794,48.0,
1648583499.1538363,7.794,49.75,
1648583499.3543575,7.794,49.0,
1648583499.554865,7.794,49.0,
1648583499.7553651,7.832,50.5,
1648583499.95589,7.832,50.25,
1648583500.156394,7.832,50.0,
1648583500.3569117,7.832,50.25,
1648583500.557429,7.832,50.75,
1648583500.7579408,7.832,50.0,
1648583500.9585016,7.76,50.25,
1648583501.1590157,7.76,51.5,
1648583501.3594942,7.76,50.75,
1648583501.56,7.76,51.0,
1648583501.7605028,7.76,52.75,
1648583501.9610207,8.023,51.0,
1648583502.1615148,8.023,51.0,
1648583502.3620274,8.023,52.75,
1648583502.562537,8.023,51.75,
1648583502.7630422,8.023,51.0,
1648583502.963559,8.118,53.25,
1648583503.164072,8.118,52.0,
1648583503.364574,8.118,51.5,
1648583503.5650997,8.118,52.25,
1648583503.765596,7.84,52.5,
1648583503.9688973,7.84,51.75,
1648583504.1693983,7.84,51.75,
1648583504.369886,7.84,53.25,
1648583504.5703795,7.84,51.75,
1648583504.7708633,7.84,52.0,
1648583504.9715922,7.84,53.75,
1648583505.1719565,7.84,52.75,
1648583505.3723266,7.84,52.0,
1648583505.5727677,7.764,54.25,
1648583505.773198,7.764,52.75,
1648583505.9735174,7.764,52.25,
1648583506.1738539,7.764,53.5,
1648583506.3743718,7.576,53.25,
1648583506.574847,7.576,53.0,
1648583506.7753894,7.576,52.75,
1648583506.9759667,8.065,54.0,
1648583507.1764977,8.065,53.5,
1648583507.3770652,8.065,52.5,
1648583507.5775821,8.065,53.0,
1648583507.777951,7.653,53.75,
1648583507.978286,7.653,53.75,
1648583508.1787732,7.653,53.0,
1648583508.379343,7.653,52.75,
1648583508.5798762,7.653,54.0,
1648583508.7804933,7.771,53.75,
1648583508.9809709,7.771,53.5,
1648583509.1813083,7.771,53.0,
1648583509.3816779,7.771,53.0,
1648583509.5819929,7.771,55.0,
1648583509.7823431,7.771,53.25,
