time_stamp, total_power, temps_avg,
1648599499.7900217,6.298,49.0,
1648599499.9905207,6.298,49.0,
1648599500.1910186,6.298,49.5,
1648599500.3915126,6.298,49.0,
1648599500.592012,6.298,48.75,
1648599500.7925074,6.527,49.25,
1648599500.9930198,6.527,48.75,
1648599501.193515,6.527,48.75,
1648599501.3940299,6.527,49.0,
1648599501.5945287,6.527,48.75,
1648599501.7950442,6.473,48.5,
1648599501.9955418,6.473,48.75,
1648599502.1960392,6.473,48.75,
1648599502.3966231,6.473,49.25,
1648599502.5971303,6.473,48.75,
1648599502.7976298,6.317,49.25,
1648599502.9981067,6.317,48.75,
1648599503.1987488,6.317,48.75,
1648599503.3992321,6.317,48.75,
1648599503.5997236,6.485,48.75,
1648599503.8002064,6.485,48.5,
1648599504.0007005,6.485,48.5,
1648599504.2011838,6.485,48.5,
1648599504.4016697,6.485,49.0,
1648599504.602151,6.485,48.5,
1648599504.8027618,6.214,49.0,
1648599505.0032492,6.214,49.0,
1648599505.2037349,6.214,48.75,
1648599505.4042256,6.214,49.0,
1648599505.6047087,6.214,49.0,
1648599505.805203,6.386,49.25,
1648599506.0056665,6.386,48.75,
1648599506.206157,6.386,48.75,
1648599506.4067686,6.386,49.25,
1648599506.607252,6.386,49.0,
1648599506.8077483,6.573,49.5,
1648599507.0082195,6.573,49.5,
1648599507.2088327,6.573,49.25,
1648599507.4093356,6.573,49.0,
1648599507.6098132,6.573,49.0,
1648599507.8103042,6.573,48.5,
1648599508.010798,6.389,49.0,
1648599508.2112956,6.389,49.25,
1648599508.4117858,6.389,49.25,
1648599508.612276,6.492,49.25,
1648599508.8127744,6.492,49.0,
1648599509.0132713,6.492,49.5,
1648599509.2137678,6.492,49.25,
1648599509.4142656,6.492,48.75,
1648599509.614795,6.492,48.75,
1648599509.8153033,6.454,49.0,
1648599510.0158033,6.454,49.0,
1648599510.2163029,6.454,49.25,
1648599510.4168112,6.454,49.0,
1648599510.6173286,6.454,49.25,
1648599510.8178422,6.458,49.25,
1648599511.0183275,6.458,49.25,
1648599511.2188241,6.458,49.0,
1648599511.4193177,6.458,48.75,
1648599511.6198137,6.458,48.75,
1648599511.8203177,6.298,48.75,
1648599512.020964,6.298,48.75,
1648599512.221465,6.298,49.25,
1648599512.421973,6.298,49.5,
1648599512.6224797,6.298,49.5,
1648599512.8230097,6.416,49.25,
1648599513.0235028,6.416,49.75,
1648599513.2240076,6.416,49.25,
1648599513.4245062,6.416,49.25,
1648599513.624994,6.416,49.25,
1648599513.825507,6.5,49.0,
1648599514.0259943,6.5,49.0,
1648599514.2264955,6.5,48.75,
1648599514.4270027,6.5,49.0,
1648599514.6275027,6.5,49.0,
1648599514.8280213,6.401,49.0,
1648599515.0285196,6.401,49.0,
1648599515.2290132,6.401,49.0,
1648599515.4295259,6.401,49.25,
1648599515.6300383,6.401,49.25,
1648599515.83054,6.458,49.25,
1648599516.0310342,6.458,49.5,
1648599516.2315233,6.458,48.75,
1648599516.4320138,6.458,49.25,
1648599516.632519,6.458,49.25,
1648599516.8330257,6.458,49.0,
1648599517.033527,6.374,49.0,
1648599517.2340515,6.374,48.75,
1648599517.4345434,6.374,49.75,
1648599517.6350446,6.367,49.75,
1648599517.8355405,6.367,49.5,
1648599518.0360394,6.367,49.25,
1648599518.2365415,6.367,49.0,
1648599518.437114,6.367,49.25,
1648599518.6389735,6.451,49.5,
1648599518.8394697,6.451,49.5,
1648599519.0400887,6.451,49.5,
1648599519.2405853,6.451,49.5,
1648599519.441069,6.451,49.25,
1648599519.6415474,6.451,49.5,
1648599519.8420584,6.5,49.25,
1648599520.0425465,6.5,49.0,
1648599520.2430546,6.5,49.25,
1648599520.4435604,6.5,49.25,
1648599520.644039,6.5,49.25,
1648599520.8445542,6.5,49.75,
1648599521.0450468,6.5,49.25,
1648599521.2455292,6.5,49.25,
1648599521.4460144,6.409,49.25,
1648599521.6465068,6.55,49.25,
1648599521.8469996,6.55,49.5,
1648599522.047495,6.55,49.5,
1648599522.2479818,6.55,49.25,
1648599522.448648,6.55,49.75,
1648599522.6491678,6.58,49.5,
1648599522.849651,6.58,49.25,
1648599523.0501378,6.58,49.5,
1648599523.250732,6.58,49.5,
1648599523.4512298,6.58,49.5,
1648599523.6517467,6.58,48.75,
1648599523.852225,6.473,49.25,
1648599524.0526843,6.473,49.5,
1648599524.2531054,6.473,49.0,
1648599524.453453,6.473,49.5,
1648599524.6537833,6.5,49.25,
1648599524.8541276,6.5,49.5,
1648599525.0544467,6.5,49.5,
1648599525.2546718,6.5,49.5,
1648599525.4550023,6.5,49.5,
1648599525.6553214,6.5,49.5,
1648599525.8556352,6.5,49.5,
1648599526.0559907,6.5,49.25,
1648599526.2563264,6.492,49.25,
1648599526.4566677,6.492,49.5,
1648599526.6570392,6.202,49.5,
1648599526.8573627,6.202,49.25,
1648599527.0576801,6.202,49.25,
