time_stamp, total_power, temps_avg,
1648582563.3932767,7.603,55.0,
1648582563.5937812,7.603,54.5,
1648582563.7942796,7.737,54.75,
1648582563.994773,7.737,54.75,
1648582564.1950707,7.737,55.25,
1648582564.395508,7.737,54.75,
1648582564.595841,7.737,54.75,
1648582564.796188,7.844,54.75,
1648582564.996568,7.844,54.75,
1648582565.1969006,7.844,54.5,
1648582565.397204,7.844,55.5,
1648582565.59751,7.844,54.75,
1648582565.797868,7.844,54.75,
1648582565.99833,7.622,54.75,
1648582566.1988277,7.622,55.5,
1648582566.399321,7.622,55.0,
1648582566.5998018,7.622,54.75,
1648582566.8004458,7.535,54.75,
1648582567.0009496,7.535,54.75,
1648582567.2014573,7.535,55.5,
1648582567.4019656,7.535,55.0,
1648582567.602464,7.535,54.5,
1648582567.8028367,7.473,54.5,
1648582568.0033157,7.473,54.75,
1648582568.203793,7.473,55.5,
1648582568.4042902,7.473,55.0,
1648582568.6047661,7.473,54.75,
1648582568.805263,7.641,54.75,
1648582569.005756,7.641,54.75,
1648582569.206251,7.641,55.5,
1648582569.4067543,7.641,54.75,
1648582569.6072476,7.641,54.75,
1648582569.8077245,7.641,54.75,
1648582570.0082147,7.641,55.5,
1648582570.2086947,7.672,55.0,
1648582570.4091985,7.672,55.0,
1648582570.6097026,7.672,54.75,
1648582570.810196,7.569,55.75,
1648582571.010706,7.569,55.0,
1648582571.2112007,7.569,55.0,
1648582571.4117122,7.569,54.75,
1648582571.612212,7.569,56.0,
1648582571.8126948,7.76,54.75,
1648582572.0131848,7.76,54.75,
1648582572.2136698,7.76,54.75,
1648582572.4141765,7.76,55.5,
1648582572.6146965,7.76,55.5,
1648582572.8151767,7.672,54.75,
1648582573.0156734,7.672,54.75,
1648582573.2169485,7.672,55.0,
1648582573.4172478,7.672,55.75,
1648582573.6175985,7.672,55.25,
1648582573.8179467,7.672,54.75,
1648582574.0183055,7.634,54.75,
1648582574.2186768,7.634,55.75,
1648582574.4189692,7.634,55.25,
1648582574.6193304,7.634,55.0,
1648582574.8197153,7.611,55.0,
1648582575.0201116,7.611,55.75,
1648582575.2205594,7.611,55.5,
1648582575.4209075,7.611,55.0,
1648582575.6212487,7.611,55.0,
1648582575.821637,7.363,55.0,
1648582576.0219436,7.363,54.75,
1648582576.2222733,7.363,55.75,
1648582576.422664,7.363,55.0,
1648582576.6229632,7.363,55.0,
1648582576.8232875,7.332,54.75,
1648582577.023672,7.332,54.75,
1648582577.224027,7.332,55.75,
1648582577.4243505,7.332,55.75,
1648582577.6247184,7.332,55.25,
1648582577.825118,7.767,55.0,
1648582578.025468,7.767,55.0,
1648582578.2257795,7.767,56.0,
1648582578.4261246,7.767,55.5,
1648582578.62646,7.767,54.75,
1648582578.8267503,7.718,55.0,
1648582579.0270922,7.718,55.0,
1648582579.2274075,7.718,55.5,
1648582579.4277823,7.718,55.25,
1648582579.6280892,7.718,55.0,
1648582579.828451,7.68,55.0,
1648582580.0288646,7.68,55.25,
1648582580.2293603,7.68,55.75,
1648582580.4298565,7.68,55.0,
1648582580.6303778,7.68,55.25,
1648582580.8308997,7.775,55.0,
1648582581.03139,7.775,56.25,
1648582581.2318769,7.775,55.25,
1648582581.4323835,7.775,55.0,
1648582581.6328776,7.775,54.75,
1648582581.8333695,7.664,55.25,
1648582582.033862,7.664,55.75,
1648582582.2343552,7.664,55.25,
1648582582.4348598,7.664,55.25,
1648582582.635313,7.664,55.0,
1648582582.835662,7.676,55.75,
1648582583.0359921,7.676,55.75,
1648582583.2363021,7.676,55.0,
1648582583.4366052,7.676,54.75,
1648582583.636994,7.676,55.0,
1648582583.8373003,7.592,55.5,
1648582584.037631,7.592,55.5,
1648582584.2379487,7.592,55.0,
1648582584.438942,7.592,55.0,
1648582584.6394181,7.592,55.0,
1648582584.8399334,7.771,55.75,
1648582585.0404167,7.771,55.0,
1648582585.2409134,7.771,54.75,
1648582585.441408,7.771,55.0,
1648582585.6418893,7.771,56.0,
1648582585.8423667,7.775,55.25,
1648582586.042849,7.775,55.25,
1648582586.2433283,7.775,55.5,
1648582586.443817,7.775,56.0,
1648582586.6443095,7.775,55.75,
1648582586.8447921,7.733,55.25,
1648582587.0453053,7.733,55.25,
1648582587.2458034,7.733,55.5,
1648582587.4463036,7.733,56.5,
1648582587.6468022,7.733,55.25,
1648582587.8473117,7.733,55.0,
1648582588.047791,7.733,55.75,
1648582588.2482889,7.733,56.25,
1648582588.4487708,7.733,55.5,
1648582588.6492743,7.733,55.25,
1648582588.8498187,7.836,55.25,
1648582589.0503066,7.836,56.5,
1648582589.2507699,7.836,55.75,
1648582589.4510884,7.836,55.25,
1648582589.6514435,7.836,55.75,
1648582589.8517652,7.832,56.0,
1648582590.0521796,7.832,55.75,
1648582590.252665,7.832,55.25,
1648582590.4531803,7.832,55.5,
1648582590.6536746,7.832,56.0,
1648582590.8541875,7.832,55.5,
1648582591.05473,7.832,55.5,
1648582591.2552288,7.626,55.5,
1648582591.455726,7.626,56.0,
1648582591.656239,7.626,55.75,
1648582591.856741,7.515,55.25,
1648582592.0572288,7.515,55.5,
1648582592.2577114,7.515,56.0,
1648582592.4582136,7.515,55.75,
1648582592.658726,7.515,55.5,
1648582592.8592443,7.756,55.5,
1648582593.0596516,7.756,55.75,
1648582593.2599814,7.756,56.0,
1648582593.4603183,7.756,55.5,
1648582593.6606889,7.756,55.5,
1648582593.861079,7.676,55.75,
1648582594.061495,7.676,56.25,
1648582594.261991,7.676,55.75,
1648582594.4625082,7.676,55.5,
1648582594.6670766,7.676,55.0,
1648582594.8677177,7.676,55.75,
1648582595.068234,7.863,55.75,
1648582595.2687285,7.863,55.5,
1648582595.4692323,7.863,55.75,
1648582595.6697257,7.863,56.0,
1648582595.8702426,7.863,55.5,
1648582596.0707626,7.691,55.5,
1648582596.2712421,7.691,55.25,
1648582596.4717262,7.691,56.0,
1648582596.672353,7.691,55.75,
1648582596.8728611,7.691,55.25,
1648582597.0733461,7.691,55.75,
1648582597.2738352,7.699,55.75,
1648582597.4743388,7.699,56.0,
1648582597.6748447,7.699,55.75,
1648582597.8753498,7.699,55.75,
1648582598.0758479,7.832,56.0,
1648582598.2763336,7.832,56.0,
1648582598.4768238,7.832,55.75,
1648582598.6792257,7.836,55.5,
1648582598.8797443,7.836,55.75,
1648582599.0802302,7.836,56.0,
1648582599.2807167,7.836,55.75,
1648582599.4812324,7.836,55.5,
1648582599.6817224,7.836,55.75,
1648582599.8822374,7.798,55.5,
1648582600.0827289,7.798,55.75,
1648582600.283239,7.798,55.75,
1648582600.4837523,7.798,55.5,
1648582600.6842663,7.733,55.5,
1648582600.884776,7.733,56.25,
1648582601.0852766,7.733,56.0,
1648582601.285765,7.733,55.5,
1648582601.4862657,7.733,55.75,
1648582601.6867938,7.733,56.25,
1648582601.8873136,7.756,55.75,
1648582602.0878167,7.756,55.75,
1648582602.288317,7.756,55.75,
1648582602.4888036,7.756,56.5,
1648582602.689304,7.855,55.75,
1648582602.889833,7.855,55.5,
1648582603.0903218,7.855,55.75,
1648582603.2908125,7.855,56.0,
1648582603.4913106,7.855,55.75,
1648582603.6918032,7.5,55.5,
1648582603.894026,7.5,55.75,
1648582604.0944068,7.5,55.5,
1648582604.2947118,7.5,55.5,
1648582604.4950352,7.5,56.5,
1648582604.6953812,7.752,55.75,
1648582604.8958006,7.752,55.5,
1648582605.0961924,7.752,55.75,
1648582605.2965345,7.752,56.25,
1648582605.4969707,7.752,55.75,
1648582605.6974986,7.641,55.25,
1648582605.8980768,7.641,55.25,
1648582606.098743,7.641,55.75,
1648582606.2992523,7.641,55.75,
1648582606.4997554,7.641,55.75,
1648582606.7002547,7.641,55.25,
1648582606.9020295,7.618,55.25,
1648582607.1024256,7.618,55.75,
1648582607.3028,7.618,56.25,
1648582607.5033422,7.618,56.0,
1648582607.7036524,7.691,55.75,
1648582607.9040265,7.691,55.75,
1648582608.104395,7.691,55.75,
1648582608.3047166,7.691,56.5,
1648582608.5051365,7.691,55.75,
1648582608.7054808,7.691,55.75,
1648582608.9059637,7.92,55.75,
1648582609.1064618,7.92,56.5,
1648582609.306955,7.92,55.75,
1648582609.5074637,7.92,55.75,
1648582609.70797,7.92,55.75,
1648582609.9084766,7.691,56.0,
1648582610.1089656,7.691,56.0,
1648582610.309452,7.691,55.75,
1648582610.5099568,7.691,55.75,
