time_stamp, total_power, cpu_temp,
1648517339.3162882,0.0,40.78,
1648517339.5165713,0.0,39.704,
1648517339.7168493,0.0,40.242,
1648517339.9171257,3.992,39.704,
1648517340.117417,3.992,39.704,
1648517340.31771,3.992,39.704,
1648517340.5179849,3.992,40.242,
1648517340.71826,3.992,40.242,
1648517340.918555,3.992,40.78,
1648517341.1188436,3.966,40.242,
1648517341.3191419,3.966,39.704,
1648517341.5193439,3.966,40.242,
1648517341.7196453,3.966,40.242,
1648517341.919926,4.458,40.78,
1648517342.1201978,4.458,40.242,
1648517342.3204932,4.458,40.78,
1648517342.5207677,4.458,40.78,
1648517342.7211375,4.458,40.78,
1648517342.9215903,4.458,41.318,
1648517343.1219833,5.126,40.78,
1648517343.3223972,5.126,41.318,
1648517343.5228822,5.126,40.78,
1648517343.7233028,5.126,40.78,
1648517343.9236639,4.565,40.78,
1648517344.123989,4.565,41.856,
1648517344.324312,4.565,41.318,
1648517344.5246384,4.565,41.856,
1648517344.7249892,4.565,41.318,
1648517344.9252825,5.115,41.856,
1648517345.1256201,5.115,41.318,
1648517345.3259811,5.115,41.856,
1648517345.5264509,5.115,41.856,
1648517345.7267811,5.115,41.856,
1648517345.9271061,5.076,41.856,
1648517346.1274242,5.076,42.394,
1648517346.327743,5.076,41.856,
1648517346.528043,5.076,41.856,
1648517346.7283611,5.076,42.394,
1648517346.9286673,5.088,41.856,
1648517347.1289763,5.088,41.856,
1648517347.3293188,5.088,41.856,
1648517347.529593,5.088,42.394,
1648517347.729937,5.088,42.932,
1648517347.930252,5.118,42.394,
1648517348.130648,5.118,42.932,
1648517348.3309653,5.118,42.932,
1648517348.5313196,5.118,42.932,
1648517348.731712,5.118,42.932,
1648517348.9320123,5.107,42.932,
1648517349.132316,5.107,42.932,
1648517349.332654,5.107,42.394,
1648517349.532981,5.107,42.932,
1648517349.7333055,5.107,42.932,
1648517349.933631,5.111,42.394,
1648517350.1339517,5.111,42.932,
1648517350.334238,5.111,42.932,
1648517350.5345573,5.111,42.932,
1648517350.7348783,5.111,42.932,
1648517350.9352899,5.164,42.932,
1648517351.135669,5.164,43.47,
1648517351.3360023,5.164,42.932,
1648517351.536472,5.164,42.932,
1648517351.7368412,5.164,43.47,
1648517351.9371645,5.168,43.47,
1648517352.1374683,5.168,42.932,
1648517352.33777,5.168,42.932,
1648517352.5380886,5.168,42.932,
1648517352.7384033,5.168,43.47,
1648517352.9387195,5.138,42.932,
1648517353.1390557,5.138,42.932,
1648517353.3393648,5.138,43.47,
1648517353.5397336,5.138,43.47,
1648517353.7400866,5.138,42.932,
1648517353.9404843,5.183,43.47,
1648517354.1408107,5.183,43.47,
1648517354.3410902,5.183,43.47,
1648517354.5414255,5.183,43.47,
1648517354.741749,5.183,44.008,
1648517354.9421005,5.183,43.47,
1648517355.1424594,5.115,43.47,
1648517355.3427668,5.115,43.47,
1648517355.5430636,5.115,44.008,
1648517355.7433836,5.115,43.47,
1648517355.9437222,5.046,43.47,
1648517356.1440673,5.046,42.932,
1648517356.344419,5.046,43.47,
1648517356.5448246,5.046,42.932,
1648517356.7451687,5.046,44.008,
1648517356.9454608,5.187,43.47,
1648517357.145776,5.187,43.47,
1648517357.3461182,5.187,42.932,
1648517357.5464022,5.187,43.47,
1648517357.7466853,5.187,44.008,
1648517357.946995,5.115,44.008,
1648517358.1472976,5.115,44.008,
1648517358.3475974,5.115,44.008,
1648517358.5479028,5.115,43.47,
1648517358.7482011,5.115,43.47,
1648517358.9485755,5.126,43.47,
1648517359.1489446,5.126,43.47,
1648517359.3493006,5.126,44.008,
1648517359.5496893,5.126,43.47,
1648517359.750046,5.126,44.008,
1648517359.9503624,5.141,44.008,
1648517360.1506665,5.141,44.008,
1648517360.3509843,5.141,44.008,
1648517360.551334,5.141,44.008,
1648517360.7516508,5.141,44.008,
1648517360.9519746,5.191,44.008,
1648517361.152291,5.191,43.47,
1648517361.352579,5.191,44.008,
1648517361.5529141,5.191,43.47,
1648517361.753261,5.191,44.008,
1648517361.953669,5.191,44.008,
1648517362.154035,5.122,44.546,
1648517362.3543332,5.122,44.008,
1648517362.5546737,5.122,44.546,
1648517362.7549813,5.122,44.008,
1648517362.955298,5.153,44.008,
1648517363.1555893,5.153,44.008,
1648517363.3558986,5.153,43.47,
1648517363.5562258,5.153,44.008,
1648517363.7565145,5.153,44.008,
1648517363.956797,5.153,44.008,
1648517364.1570985,5.153,44.008,
1648517364.357434,5.153,44.008,
1648517364.5578408,5.153,44.008,
1648517364.7582538,5.153,44.008,
1648517364.9586747,5.176,44.008,
1648517365.1589954,5.176,43.47,
