time_stamp, total_power, cpu_temp,
1648575116.4418476,5.073,44.008,
1648575116.6421473,5.015,44.008,
1648575116.8424973,5.015,44.008,
1648575117.0427914,5.015,44.008,
1648575117.243177,5.015,44.008,
1648575117.4435685,5.015,44.008,
1648575117.6439216,4.962,44.008,
1648575117.8442886,4.962,43.47,
1648575118.0446186,4.962,44.008,
1648575118.2449026,4.962,43.47,
1648575118.4452338,4.962,43.47,
1648575118.6455193,4.962,44.008,
1648575118.845823,4.962,44.008,
1648575119.0461645,4.962,44.008,
1648575119.246494,4.962,44.008,
1648575119.4468117,4.962,44.008,
1648575119.6471977,5.012,44.008,
1648575119.8474944,5.012,44.546,
1648575120.0477881,5.012,44.008,
1648575120.2481005,5.012,44.008,
1648575120.44847,5.012,43.47,
1648575120.6487944,5.012,44.008,
1648575120.8491092,5.031,44.008,
1648575121.04934,5.031,44.008,
1648575121.2496264,5.031,44.008,
1648575121.449936,5.031,44.008,
1648575121.6502566,5.015,44.008,
1648575121.8505683,5.015,44.008,
1648575122.0508814,5.015,44.008,
1648575122.2511704,5.015,44.008,
1648575122.4514754,5.015,43.47,
1648575122.6518276,5.099,44.546,
1648575122.8521287,5.099,44.008,
1648575123.0524404,5.099,44.008,
1648575123.2527504,5.099,44.008,
1648575123.4530993,5.099,44.008,
1648575123.6534824,5.023,44.008,
1648575123.853798,5.023,44.008,
1648575124.0541105,5.023,44.008,
1648575124.2544224,5.023,44.008,
1648575124.4547133,5.023,44.008,
1648575124.6550562,5.038,44.008,
1648575124.8553495,5.038,44.008,
1648575125.0557075,5.038,44.008,
1648575125.2560608,5.038,44.008,
1648575125.4563854,5.038,44.546,
1648575125.6567657,5.05,44.008,
1648575125.8570628,5.05,44.008,
1648575126.0573862,5.05,44.008,
1648575126.2577813,5.05,44.008,
1648575126.4581585,5.05,44.008,
1648575126.6584435,5.019,44.008,
1648575126.8587372,5.019,44.008,
1648575127.0590534,5.019,44.008,
1648575127.2593417,5.019,44.008,
1648575127.45963,5.019,44.008,
1648575127.6599154,4.947,44.008,
1648575127.8602161,4.947,44.546,
1648575128.0605233,4.947,44.008,
1648575128.2608454,4.947,44.008,
1648575128.461166,4.947,44.008,
1648575128.6615293,4.947,44.008,
1648575128.861817,5.099,44.008,
1648575129.0621197,5.099,44.008,
1648575129.2624164,5.099,44.008,
1648575129.4627376,5.099,44.008,
1648575129.663041,5.076,44.546,
1648575129.8633385,5.076,44.008,
1648575130.0636256,5.076,44.008,
1648575130.2639089,5.076,44.008,
1648575130.4642408,5.076,44.008,
1648575130.6645677,5.076,44.008,
1648575130.8648984,5.076,43.47,
