time_stamp, total_power, cpu_temp,
1648520090.3851535,5.267,46.16,
1648520090.5854611,5.267,46.698,
1648520090.7857563,5.267,45.622,
1648520090.9860888,5.115,46.16,
1648520091.1864095,5.115,46.16,
1648520091.3868132,5.115,45.084,
1648520091.587122,5.115,46.16,
1648520091.787456,5.115,46.16,
1648520091.9877717,5.286,46.16,
1648520092.1880486,5.286,46.16,
1648520092.3883371,5.286,46.16,
1648520092.588658,5.286,46.16,
1648520092.7890007,5.286,46.16,
1648520092.9893205,5.283,46.16,
1648520093.1896744,5.283,45.622,
1648520093.389984,5.283,45.622,
1648520093.5903518,5.283,46.16,
1648520093.7907279,5.283,46.16,
1648520093.9910557,5.283,46.16,
1648520094.191356,5.336,46.16,
1648520094.39167,5.336,46.16,
1648520094.5919883,5.336,46.16,
1648520094.7922862,5.336,46.16,
1648520094.9926429,5.29,46.16,
1648520095.1929433,5.29,46.16,
1648520095.3932593,5.29,46.16,
1648520095.593574,5.29,46.16,
1648520095.7938704,5.29,46.16,
1648520095.9941692,5.386,46.16,
1648520096.1945007,5.386,46.16,
1648520096.3948486,5.386,46.16,
1648520096.5951843,5.386,46.698,
1648520096.7955043,5.386,46.16,
1648520096.99583,5.386,46.16,
1648520097.1961868,5.409,46.16,
1648520097.396534,5.409,46.16,
1648520097.5968719,5.409,46.16,
1648520097.7971556,5.409,46.698,
1648520097.9974566,5.229,45.622,
1648520098.1977625,5.229,46.16,
1648520098.398088,5.229,46.16,
1648520098.5984433,5.229,46.698,
1648520098.798769,5.229,45.622,
1648520098.9991446,5.267,46.698,
1648520099.1995459,5.267,46.16,
1648520099.3998308,5.267,46.16,
1648520099.6001298,5.267,45.622,
1648520099.8004506,5.267,46.16,
1648520100.0008025,5.267,46.16,
1648520100.201119,5.267,46.16,
1648520100.4014616,5.267,46.16,
1648520100.6017485,5.267,46.16,
1648520100.8020952,5.267,46.16,
1648520101.0024264,5.26,46.16,
1648520101.2027183,5.26,46.16,
1648520101.4030433,5.26,46.16,
1648520101.6033545,5.26,46.16,
1648520101.8037438,5.26,46.16,
1648520102.0040684,5.355,46.16,
1648520102.20445,5.355,46.16,
1648520102.4047549,5.355,45.622,
1648520102.6050982,5.355,46.16,
1648520102.8053908,5.355,46.16,
1648520103.005731,5.428,46.16,
1648520103.2060544,5.428,46.16,
1648520103.4063609,5.428,46.16,
1648520103.6067119,5.428,46.16,
1648520103.807056,5.428,46.16,
1648520104.0073998,5.084,46.16,
1648520104.207688,5.084,46.16,
1648520104.4080079,5.084,46.16,
1648520104.6083024,5.084,47.236,
1648520104.8086343,5.084,46.16,
1648520105.0089858,5.015,46.16,
1648520105.2093103,5.015,46.16,
1648520105.409641,5.015,46.16,
1648520105.6099634,5.015,46.16,
1648520105.8103275,5.015,47.236,
1648520106.0106356,5.088,46.16,
1648520106.2109854,5.088,46.16,
1648520106.411294,5.088,46.16,
1648520106.6115894,5.088,46.16,
1648520106.811894,5.088,46.16,
1648520107.012174,5.088,46.16,
1648520107.2125149,5.221,46.16,
1648520107.4128413,5.221,46.16,
1648520107.6132505,5.221,46.16,
1648520107.8135562,5.221,46.16,
1648520108.0138788,5.328,46.16,
1648520108.2141836,5.328,46.16,
1648520108.4145043,5.328,46.16,
1648520108.6148207,5.328,46.16,
1648520108.815107,5.328,46.16,
1648520109.015403,5.279,46.16,
1648520109.215725,5.279,46.16,
1648520109.4161022,5.279,46.16,
1648520109.616487,5.279,46.16,
1648520109.8168309,5.279,46.16,
1648520110.017198,5.279,46.16,
1648520110.2175086,5.279,46.16,
1648520110.417912,5.279,46.16,
1648520110.6182508,5.279,46.16,
1648520110.818638,5.279,46.698,
1648520111.0189736,5.431,46.16,
1648520111.2193682,5.431,46.16,
1648520111.4196787,5.431,46.16,
1648520111.6200006,5.431,46.16,
1648520111.8203743,5.431,46.16,
1648520112.0207322,5.431,47.236,
1648520112.2211425,5.218,46.698,
1648520112.4215076,5.218,47.236,
1648520112.6218498,5.218,46.16,
1648520112.8221753,5.218,46.16,
1648520113.0224779,5.302,46.16,
1648520113.2228727,5.302,46.16,
1648520113.4231825,5.302,46.16,
1648520113.6235511,5.302,46.698,
1648520113.8238463,5.302,46.698,
1648520114.0241668,5.328,46.16,
1648520114.2244844,5.328,46.16,
1648520114.4247932,5.328,46.16,
1648520114.6251218,5.328,46.16,
1648520114.825476,5.328,46.16,
1648520115.0259352,5.328,46.698,
1648520115.22628,5.309,47.236,
1648520115.4266691,5.309,46.698,
1648520115.6269972,5.309,46.698,
1648520115.827427,5.309,46.16,
1648520116.0277548,5.309,46.16,
1648520116.2281232,5.309,46.16,
1648520116.428475,5.309,47.236,
1648520116.6288128,5.309,46.698,
1648520116.829126,5.309,46.698,
1648520117.0293448,5.309,46.16,
1648520117.2296314,5.309,46.698,
1648520117.4299312,5.309,45.622,
1648520117.6302974,5.351,46.16,
1648520117.830645,5.351,46.16,
1648520118.0309565,5.149,47.236,
1648520118.2313538,5.149,46.16,
1648520118.4316876,5.149,46.698,
1648520118.6320329,5.149,46.16,
1648520118.832338,5.149,46.698,
1648520119.03266,5.233,46.698,
1648520119.2329922,5.233,46.16,
1648520119.4333286,5.233,46.16,
1648520119.6336384,5.233,46.698,
1648520119.833948,5.233,46.16,
1648520120.034351,5.214,46.16,
1648520120.234762,5.214,46.698,
1648520120.4351754,5.214,46.16,
1648520120.6355033,5.214,46.16,
1648520120.8358727,5.214,46.698,
1648520121.036232,5.305,46.698,
1648520121.236536,5.305,47.236,
1648520121.436861,5.305,46.16,
1648520121.6372159,5.305,46.16,
1648520121.8375037,5.305,46.16,
1648520122.0378137,5.386,46.16,
1648520122.238244,5.386,46.16,
1648520122.4385905,5.386,46.16,
1648520122.6389139,5.386,46.698,
1648520122.8392112,5.386,46.16,
1648520123.0394816,5.367,46.16,
1648520123.2397707,5.367,47.236,
1648520123.4400744,5.367,46.698,
1648520123.6404088,5.367,46.698,
1648520123.8407276,5.367,46.16,
1648520124.0411,5.397,46.16,
1648520124.2414339,5.397,46.16,
1648520124.4417515,5.397,46.16,
1648520124.6420834,5.397,46.16,
1648520124.842468,5.397,46.16,
1648520125.0428057,5.267,47.236,
1648520125.2431326,5.267,47.236,
1648520125.4434788,5.267,47.236,
1648520125.6438305,5.267,47.236,
1648520125.8442838,5.267,46.16,
1648520126.0446146,5.179,46.698,
1648520126.24492,5.179,46.16,
1648520126.4452271,5.179,47.236,
1648520126.6455803,5.179,46.16,
1648520126.8458977,5.179,47.236,
1648520127.0462418,5.283,47.236,
1648520127.2465434,5.283,46.698,
1648520127.446886,5.283,46.16,
1648520127.6472366,5.283,46.698,
1648520127.8475492,5.283,47.236,
1648520128.047879,5.179,46.698,
1648520128.2482224,5.179,46.16,
1648520128.4485672,5.179,47.236,
1648520128.6489105,5.179,46.16,
1648520128.8492663,5.179,47.236,
1648520129.0495691,5.393,46.16,
1648520129.2498906,5.393,46.698,
1648520129.4503026,5.393,46.16,
1648520129.6506333,5.393,46.16,
1648520129.850934,5.393,46.698,
1648520130.0512607,5.393,47.236,
1648520130.2515597,5.393,47.236,
1648520130.4518805,5.393,46.16,
1648520130.6521819,5.393,47.236,
1648520130.8525841,5.393,46.16,
1648520131.0529451,5.248,46.698,
1648520131.2532558,5.248,46.698,
1648520131.4535618,5.248,46.16,
1648520131.65386,5.248,47.236,
1648520131.8542032,5.248,47.236,
1648520132.054526,5.248,46.16,
1648520132.2548864,5.283,47.236,
1648520132.4552295,5.283,47.236,
1648520132.6556258,5.283,46.698,
1648520132.8559554,5.283,46.16,
1648520133.0563025,5.21,47.236,
1648520133.2566135,5.21,46.16,
1648520133.4569654,5.21,46.16,
1648520133.6572719,5.21,47.236,
1648520133.8575644,5.21,46.698,
1648520134.0579343,5.122,46.16,
1648520134.2582722,5.122,46.16,
1648520134.458581,5.122,46.16,
1648520134.6588914,5.122,47.236,
1648520134.859209,5.122,46.698,
1648520135.0595694,5.305,47.236,
1648520135.2598712,5.305,46.698,
1648520135.4601974,5.305,46.698,
1648520135.6605349,5.305,46.16,
1648520135.8608642,5.305,47.236,
1648520136.0612211,5.298,46.16,
1648520136.2616105,5.298,47.236,
1648520136.4619408,5.298,46.698,
1648520136.6622548,5.298,46.698,
1648520136.8625965,5.298,46.698,
1648520137.0628977,5.298,46.698,
1648520137.2632942,5.305,47.236,
1648520137.4636137,5.305,47.236,
1648520137.6639626,5.305,46.698,
1648520137.864315,5.305,46.698,
1648520138.0646083,5.378,46.16,
1648520138.2649372,5.378,47.236,
1648520138.4652553,5.378,47.236,
1648520138.665567,5.378,47.236,
1648520138.865865,5.378,47.236,
1648520139.066172,5.283,47.236,
1648520139.2664862,5.283,47.236,
1648520139.4668145,5.283,46.698,
1648520139.6671517,5.283,47.236,
1648520139.867443,5.283,47.236,
1648520140.0677736,5.206,47.236,
1648520140.2681024,5.206,47.236,
1648520140.4684753,5.206,46.16,
1648520140.6688073,5.206,46.698,
1648520140.8691368,5.206,47.236,
1648520141.0693662,5.313,47.236,
1648520141.2696695,5.313,47.236,
1648520141.4699812,5.313,46.16,
1648520141.6703627,5.313,47.236,
1648520141.8706622,5.313,47.236,
1648520142.0709648,5.271,46.16,
1648520142.2713504,5.271,47.236,
1648520142.471689,5.271,47.236,
1648520142.672001,5.271,47.236,
1648520142.872298,5.271,47.236,
1648520143.0726051,5.332,46.16,
1648520143.2729495,5.332,47.236,
1648520143.4733553,5.332,46.698,
1648520143.6736822,5.332,47.236,
1648520143.874011,5.393,47.236,
1648520144.07441,5.393,47.236,
1648520144.2747219,5.393,47.236,
1648520144.475036,5.393,46.698,
1648520144.6753502,5.393,47.236,
1648520144.8757207,5.393,47.236,
1648520145.0760577,5.305,47.236,
1648520145.2763767,5.305,47.236,
1648520145.4766903,5.305,47.236,
1648520145.6769989,5.305,47.236,
1648520145.877326,5.305,46.698,
1648520146.077678,5.305,47.236,
1648520146.2780368,5.206,46.698,
1648520146.4783864,5.206,46.16,
1648520146.678732,5.206,47.236,
1648520146.8791034,5.206,46.698,
1648520147.079431,5.347,47.236,
1648520147.2797458,5.347,46.698,
1648520147.480039,5.347,47.236,
1648520147.680362,5.347,47.774,
1648520147.88074,5.347,47.236,
1648520148.0810678,5.347,47.236,
1648520148.2814367,5.347,47.236,
1648520148.4817483,5.347,47.236,
1648520148.6820667,5.347,47.236,
1648520148.8823974,5.347,47.236,
1648520149.0827007,5.347,46.698,
1648520149.28304,5.359,46.698,
1648520149.4833565,5.359,47.236,
1648520149.6837406,5.359,47.236,
1648520149.884071,5.317,47.236,
1648520150.0844388,5.317,47.236,
1648520150.2847455,5.317,46.698,
1648520150.4850953,5.317,46.698,
1648520150.685423,5.317,47.236,
1648520150.885767,5.317,47.236,
1648520151.0862036,5.317,47.236,
1648520151.286532,5.317,47.236,
1648520151.4869707,5.317,46.16,
1648520151.6872983,5.317,47.236,
1648520151.887618,5.317,47.236,
1648520152.0879416,5.317,47.236,
1648520152.2882864,5.317,47.236,
1648520152.4886434,5.263,47.236,
1648520152.688968,5.263,46.698,
1648520152.889317,5.328,47.236,
1648520153.089622,5.328,47.236,
1648520153.2899475,5.328,47.236,
1648520153.490281,5.328,47.236,
1648520153.6905816,5.328,47.236,
1648520153.8909698,5.328,47.236,
1648520154.0912826,5.37,47.236,
1648520154.2915947,5.37,47.236,
1648520154.4919205,5.37,47.236,
1648520154.692217,5.37,47.236,
1648520154.8925118,5.321,47.236,
1648520155.0928755,5.321,47.236,
1648520155.2932093,5.321,47.236,
1648520155.493521,5.321,47.236,
1648520155.6939392,5.321,47.236,
1648520155.8942866,5.225,46.16,
1648520156.0946057,5.225,47.236,
1648520156.2949176,5.225,46.16,
1648520156.4952223,5.225,46.698,
1648520156.6956475,5.225,46.698,
1648520156.895963,5.134,47.236,
1648520157.0962932,5.134,47.236,
1648520157.2966235,5.134,47.236,
1648520157.496981,5.134,46.698,
1648520157.6973627,5.134,47.236,
1648520157.8977637,5.267,47.236,
1648520158.0981057,5.267,46.698,
1648520158.2984283,5.267,47.236,
1648520158.4987495,5.267,47.236,
1648520158.6990983,5.267,47.236,
1648520158.899362,5.267,47.236,
1648520159.099704,5.363,46.698,
1648520159.3000817,5.363,47.236,
1648520159.500404,5.363,46.16,
1648520159.7006805,5.363,47.236,
1648520159.9009905,5.336,47.236,
1648520160.1013,5.336,47.236,
1648520160.3016171,5.336,47.236,
1648520160.501961,5.336,47.236,
1648520160.702326,5.336,47.236,
1648520160.9026644,5.279,46.698,
1648520161.1031127,5.279,47.236,
1648520161.3034542,5.279,47.236,
1648520161.5038254,5.279,46.698,
1648520161.704187,5.279,47.236,
1648520161.904514,5.382,47.236,
1648520162.10488,5.382,47.236,
1648520162.3051684,5.382,46.16,
1648520162.5055006,5.382,47.236,
1648520162.7058468,5.382,47.236,
1648520162.9061713,5.229,47.236,
1648520163.1064665,5.229,46.698,
1648520163.3068357,5.229,46.16,
1648520163.5071938,5.229,47.236,
1648520163.7075768,5.229,47.236,
1648520163.9079115,5.298,47.236,
1648520164.1082144,5.298,47.236,
1648520164.3085344,5.298,47.236,
1648520164.50884,5.298,46.698,
1648520164.7091448,5.298,47.236,
1648520164.9093916,5.252,47.236,
1648520165.109707,5.252,47.236,
1648520165.310029,5.252,46.698,
1648520165.5103738,5.252,47.236,
1648520165.710703,5.252,47.236,
1648520165.9110713,5.252,47.236,
